,link,text,date,likes,comments
0,https://twitter.com/Elhammarvi/status/1731297057313272051#m,#پاییز در #پارک_لاله 📸by me,"Dec 3, 2023 · 12:59 PM UTC",21,0
1,https://twitter.com/Mohammad64karim/status/1825591614560952554#m,در حالی که هنوز حصار ساخت و سازی که کمیسیون شهرسازی شورا خبر لغو آن را داد(کنار ایستگاه آتش نشانی) برچیده نشده است،حصاری بزرگتر در محدوده مشجر #پارک_لاله برپا شده و گودبرداری هم در بخشی از آن صورت گرفته است.,"Aug 19, 2024 · 5:52 PM UTC",23,0
2,https://twitter.com/SHIVAARASTEH/status/1826612104360853667#m,ای خردمند عاقل و دانا قصه ی درخت و زاک برخوانا داستان شهر و درختان مظلومش گوش کن چو دُر غلطانا از بد روزگار یکی شهردار بودچون اژدها به تهرانا هر روز تبر به دست به بوستانی می رفت برای کشتن درختانا هست این قصه عجیب و غریب یادگار گروه زاکانا #پارک_قیطریه #چیتگر #پارک_لاله #شیوانا,"Aug 22, 2024 · 1:27 PM UTC",69,0
3,https://twitter.com/0misskei0/status/1826497225427431567#m,زاکانی حروم زاده و شرکا #پارک_لاله,"Aug 22, 2024 · 5:50 AM UTC",3,1
4,https://twitter.com/KhatamAkram/status/1826460955644981450#m,#زاکانی در حال ویران کردن زیباترین و بزرگترین پارک تهران است #پارک_لاله,"Aug 22, 2024 · 3:26 AM UTC",276,2
5,https://twitter.com/Mohammad64karim/status/1826344374999154704#m,خانم‌ فرزانه صادق مالواجرد ، وزیر راه و شهرسازی، شما سوگند یادکردید از محیط زیست، از زیست پذیری شهر و از ضوابط شهری، حفاظت کنید. #پارک_لاله با یورش مغول وار مواجه شده ، قاطعیت خود را نشان دهید. @farzaneh_sadegh,"Aug 21, 2024 · 7:43 PM UTC",17,1
6,https://twitter.com/Mohammad64karim/status/1825574362688397766#m,چرا در حالی که سازمان آب با فضای تامین مخزن در خیابان حجاب است،نزدیک آن و در قسمت مشجر #پارک_لاله باید حصارکشی برای مخزن آب شود؟ چرا وقتی تقاطع بلوار و حجاب،گود بزرگی هست از آن فضا برای تأمین مخزن استفاده نمی شود؟ چرا مخزن آب آن هم ۲۵۰۰ مترمکعب باید قسمت پر درخت پارک احداث شود؟,"Aug 19, 2024 · 4:43 PM UTC",21,0
7,https://twitter.com/Mohammad64karim/status/1826652110936834200#m,خانم شینا انصاری ، ضمن تبریک انتصابتان به عنوان رئیس سازمان حفاظت از محیط زیست ، درخواست دارم رسیدگی جدی نسبت به اقدامات مخرب شهرداری تهران در پارک‌ها در داشته باشید. #پارک_لاله @shina_ansari,"Aug 22, 2024 · 4:06 PM UTC",100,0
8,https://twitter.com/Mohammad64karim/status/1826342874851533159#m,این هجوم و گودبرداری را می بینید ، متعلق به کل محدوده پر درخت و سبزِ مشخص شده در #پارک_لاله است. از این پس به جای واژه نامأنوس شهرداری بگوییم پارک خواری,"Aug 21, 2024 · 7:37 PM UTC",432,9
9,https://twitter.com/Mohammad64karim/status/1825220386147143917#m,در شرایطی که 6260 هکتار از پوشش گیاهی تهران نسبت به ۳ سال گذشته در تنش شدید قرار دارد و 314 هکتار با تنش بالای پوشش گیاهی و تغییرکاربری از بین رفته. تانک انقلاب در پهنه مشجر و پردرخت #پارک_لاله می خواهد مخزن آب ۲۵۰۰ مترمکعبی احداث کند و حصارکشی کرده و دیشب گودبرداری شبانه داشته,"Aug 18, 2024 · 5:17 PM UTC",46,3
10,https://twitter.com/AzadeMokhtari/status/1825134519201996968#m,شهروندان از گودبرداری در محوطه حصارکشی شده #پارک_لاله خبر دادند.  روابط عمومی شهرداری منطقه 6 تهران به رکنا گفت:  این گودبرداری به منظور انجام فعالیت عمرانی نیست و مقصود، نصب مخازن آب اضطراری مدیریت بحران #شهرداری_تهران است.,"Aug 18, 2024 · 11:35 AM UTC",46,3
11,https://twitter.com/Mohammad64karim/status/1825266792924897529#m,کل این محدوده از #پارک_لاله حصارکشی و فنس کشی شده.  یک محدوده وسیع سبز از درختان در خطر قتل عام قرار داره.,"Aug 18, 2024 · 8:21 PM UTC",55,0
12,https://twitter.com/Emad__Ebad/status/1825525237540426235#m,بازهم ساخت و ساز در پارک لاله..؟/تصویر جدیدی از احتمال گودبرداری پشت حصارهای #پارک_لاله  پ‌ن:  @drpezeshkian جناب آقاي #دكتر_پزشكیان لطفاً دستور بفرمایید #زاکانی و #شهرداری_تهران بصورت ویژه تحت کنترل قرار گیرد! معلوم نیست چه غلطی دارن میکنن!  https://www.asriran.com/0049kV,"Aug 19, 2024 · 1:28 PM UTC",0,0
13,https://twitter.com/Mohammad64karim/status/1825273010456076593#m,"شهرداری تهران در شرایطی از ""تهران ما سرسبزتر شد"" می گوید که محدوده بزرگی از فضای پر درختِ #پارک_لاله را حصارکشی و فنس کشی کرده و گودبرداری هم کرده است.","Aug 18, 2024 · 8:46 PM UTC",20,0
14,https://twitter.com/JBehieh/status/1801714658807533591#m,یک عضو شورای شهر تهران می‌گوید بر خلاف #پارک_لاله قرار است در #پارک_قیطریه «طرحی در مساحت نهایت ۲۰۰ متر در یک طبقه» پس از بررسی در کمیسیون معماری و شهرسازی این شورا، ساخته شود.,"Jun 14, 2024 · 8:33 PM UTC",13,0
15,https://twitter.com/mahamidian/status/1801703985512169939#m,یک عضو شورای شهر تهران می‌گوید بر خلاف #پارک_لاله قرار است در #پارک_قیطریه «طرحی در مساحت نهایت ۲۰۰ متر در یک طبقه» ساخته شود. مهدی چمران در مورد ساخت و ساز در پارک قیطریه گفت: «در دوره سوم طرحی مصوب شد که در بوستان‌هایی با مساحت بیش از یک هکتار مسجد و کتابخانه احداث شود.,"Jun 14, 2024 · 7:51 PM UTC",0,1
16,https://twitter.com/esi_afi/status/1801570395935432929#m,هنوز از وحشت طغیان مردم در حال ساختن سنگر و زندان در وسط شهرها و پارکها و جاهای پرجمعیت شهرها هستند. حماس تونل مهماتش را زیر بیمارستانها و مدارس ساخته بود. حال آموزگار آنان و سر اژدها را پیدا کنید. #جاويدشاه_رمز_نجات_ایران   یک عضو شورای شهر تهران می‌گوید بر خلاف #پارک_لاله قرار,"Jun 14, 2024 · 11:00 AM UTC",0,1
17,https://twitter.com/RadioFarda_/status/1801533969902567900#m,یک عضو شورای شهر تهران می‌گوید بر خلاف #پارک_لاله قرار است در #پارک_قیطریه «طرحی در مساحت نهایت ۲۰۰ متر در یک طبقه» پس از بررسی در کمیسیون معماری و شهرسازی این شورا، ساخته شود.  مهدی عباسی، عضو این شورا روز جمعه ۲۵ خردادماه در مصاحبه با خبرگزاری ایلنا گفت: «در پارک لاله قرار شد هیچ ساخت و سازی صورت نگیرد و این موضوع به صورت کامل منتفی شد.»  مهدی چمران، رئیس شورای شهر تهران، ۱۶ اردیبهشت گذشته پس از واکنش‌ها به حصارکشی در پارک لاله به خبرنگاران گفته بود: «بعد از جشن ماه رمضان احساس شد که فضاهایی برای چنین طرح‌هایی مورد نیاز است.»  آقای چمران همچنین در مورد پارک ساخت و ساز در پارک قیطریه گفت: «در دوره سوم طرحی مصوب شد که در بوستان‌هایی با مساحت بیش از یک هکتار مسجد و کتابخانه احداث شود.»  🔸این سخنان پس از آن بیان شد که شماری از شهروندان در اعتراض به حصارکشی در پارک لاله تهران تجمعی را برگزار کرده بودند.,"Jun 14, 2024 · 8:35 AM UTC",46,2
18,https://twitter.com/SKhousian/status/1790198036230029645#m,وقتی از #تانک_نظام بودن خسته می‌شوی و دلت هوای #اره‌_نظام شدن می‌کند! #خیابان_ولیعصر #پارک_قیطریه #پارک_لاله,"May 14, 2024 · 1:50 AM UTC",7,0
19,https://twitter.com/Hedayatkhademi1/status/1789696146488631648#m,شهردار ما و شهردار آنها!. درست زمانی که #شهردار_استانبول در پارک های شهر جشن «#گل_لاله_ها»را برای مردم و جلب توریست ها برگزار میکند،شهردار ما هم درخت های پارک های قرن گذشته را قطع و به بهانه ساخت و ساز آنها را تخریب و مردم را عصبانی میکند!. #پارک_قیطریه #پارک_لاله #هوای_آلوده و ……,"May 12, 2024 · 4:36 PM UTC",66,0
20,https://twitter.com/dr_pariissa/status/1795081866925507020#m,#پارک_لاله,"May 27, 2024 · 1:17 PM UTC",123,4
21,https://twitter.com/setarehghotbi/status/1801330464520622111#m,خودش گیاه‌خواره ولی گوشت رو میاره  دم در خونه‌ها #پارک_قیطریه #پارک_لاله,"Jun 13, 2024 · 7:07 PM UTC",7,0
22,https://twitter.com/lilith_Noraa/status/1790084354439348241#m,کاش یه گربه بودم که  دنیا به دمم نیست، ولی متاسفانه شدم ی انسان که به همه چیز بیش از حد اهمیت میده #گربه #پارک_لاله,"May 13, 2024 · 6:19 PM UTC",1,0
23,https://twitter.com/mns_smi/status/1790021827701400059#m,مهدی عباسی، رئیس کمیسیون شهرسازی و معماری شورای شهر تهران، دیروز در جمع دانشگاهیان گفت: قطعاً در شورا و کمیسیون، جلوی تصمیماتی که پایه عالمانه ندارند، تخصصی و خردمندانه نیستند را خواهیم گرفت. #شهرداری_تهران #پارک_قیطریه #پارک_لاله #سیتی‌گپ,"May 13, 2024 · 2:10 PM UTC",2,0
